成都蚂蚁物流,数据分析员,成都,4-6K,1-3年大专,物流/仓储,"数据分析员,全日制本科以上学历,熟练使用office办公软件,思维敏捷,逻辑判断"
四川极讯,网络数据分析师,成都,6-10K,1-3年大专,互联网,"游戏,网络协议,Wireshark,分析者,网络数据分析"
Nexa,数据分析师（高级）,成都,12-20K,3-5年本科,游戏,"Python,SQL,商业决策,数据分析师,运营"
北京字节跳动,数据分析师,成都,15-30K,3-5年本科,移动互联网,"SQL,机器学习,数据分析,Python,数据挖掘"
纬创资通,能源数据分析高级工程师,成都,8-12K,1-3年本科,通信/网络设备,"数据挖掘,复杂数据,数据挖掘算法,能源数据,高级工程师"
云裳科技,数据分析师,成都,4-8K·13薪,1-3年本科,贸易/进出口,"报表数据,数据分析师,运营数据,核算,短期规划"
四川书亦,数据分析师,成都,6-10K,1-3年本科,生活服务,"数据分析师,数据信息,数据平台,运营数据,异常数据"
中海华晟,数据分析师,成都,6-9K,1-3年本科,通信/网络设备,"Excel,SAS,建模,数据分析师,MySQL"
启迪数字医疗,数据分析工程师,成都,4-8K,1-3年本科,医疗,"ETL,原始数据,建模,数据分析工程师,医疗"
联童,数据分析,成都,5-7K,3-5年本科,新零售,"精准营销方案,客户会员,运营体系,会员运营,话术"
成都智信电子,数据分析师,成都,6-10K,1-3年本科,数据服务,"ETL,数据治理,数据挖掘,数据架构师,数据分析师"
平安,数据分析专员,成都,5-10K,1年以内大专,互联网,"数据仓库,SQL,Excel,HTML,数据分析专员"
广州明睿市场调研,数据分析师,成都,25-35K·15薪,5-10年本科,咨询,"数据仓库,Hive,报告展示,利用数据,Presto"
平安建设投资有限公司,数据分析师,成都,5-8K,经验不限本科,互联网,"数据挖掘,商业分析,数据分析师,网络平台,51"
卫士通,数据分析师,成都,8-12K,3-5年本科,信息安全,"数据挖掘,Kafka,Python,行为分析,分布式技术"
齐碳科技,数据分析算法工程师,成都,15-28K·13薪,1-3年本科,医疗,"关联分析,SVM,算法工程师,改进点,有效信息"
平安证券,数据分析师,成都,6-8K,1-3年大专,互联网,"编码人员,录入人员,数据分析师,数据分析方案,市场研究"
天上友嘉,中级游戏运营（数据分析）,成都,7-12K,1-3年大专,游戏,"数据分析,BI,MySQL,gm工具,卡牌"
蚂蚁搬家,数据分析,成都,5-6K,经验不限大专,物流/仓储,"全日制本科以上学历,财务类专业,熟练使用office办公软件,思维敏捷,逻辑判断"
酷的文化,数据分析师,成都,7-10K,1-3年大专,电子商务,"数据分析师,天猫,自有产品,店铺运营,单休"
超凡股份,运营数据分析,成都,11-20K,5-10年硕士,咨询,"商业分析,数据挖掘,运营指标,运营数据分析,数据建模"
成都方源,产品数据分析,成都,8-12K·14薪,3-5年本科,地产经纪,"SQL,产品数据分析,数据监控,产品运营,业务优化"
成都蚂蚁集团,数据分析员,成都,4-8K,经验不限本科,物流/仓储,"数据分析员,统计学,工商管理,管理类相关专业,财务背景"
网龙,数据分析专家,成都,20-30K·16薪,5-10年本科,移动互联网,"数据分析专家,团队协作能力强,领导能力,大数据分析,"
蚂蚁物流,数据分析专员,成都,4-6K,经验不限本科,物流/仓储,"数据分析专员,接收人,业务数据,客户对账,对账"
跟谁学-高途课堂,数据分析师（8K-15K/六险一金/上市公司）,成都,10-15K,1-3年本科,在线教育,"Python,数据挖掘,数据运营,数据优化,数据分析师"
货车帮,数据分析师,成都,8-12K,3-5年本科,互联网,"数据仓库,数据处理,Hive,增长目标,互联网数据分析"
至灿贸易,数据分析师,成都,5-7K,1-3年大专,餐饮,"数据挖掘,大数据,商业分析,Hive,诊断数据"
四川天仁宏宇,经营数据分析员,成都,5-7K,3-5年大专,工程施工,"数据挖掘,商业分析,数据建立,数据分析员,业务需求"
上海万厦信息,Excel数据分析师,成都,5-10K·13薪,1-3年大专,计算机软件,"Excel,SQL,MySQL,VB,大数据"
DataCastle,数据分析经理,成都,8-13K,1-3年本科,互联网,"数据挖掘,机器学习,建模,Sklearn,数据分析经理"
智库2861,数据分析师,成都,8-13K,1-3年本科,互联网,"Python,数据挖掘,R语言,数据分析师,数学"
兰德文商贸,数据分析师,成都,3-5K,1年以内本科,批发/零售,"运维,统计学,埋点,提供数据,数据分析师"
成都集众,数据分析师,成都,3-5K,经验不限本科,其他行业,"行业分析,需求分析,数据建模,数据分析师,本科以上学历"
吹吹风电子商务,数据分析师助理,成都,3-5K,1-3年大专,电子商务,"数据分析,数据,分析师助理,编辑,"
成都途径,成都电商数据分析师,成都,10-15K,3-5年大专,企业服务,"策略报告,电商数据分析,业务需求,大数据工具,熟悉sql"
九鼎瑞信,追捕牛人@数据分析师,成都,8-12K,1-3年本科,互联网,"SQL,Python,缺失值,特征工程,逻辑回归"
捷泰天域,数据分析工程师（实习生）,成都,2-3K,经验不限硕士,计算机软件,"Python,数据分析工程师,实习生,负责项目,数据抓取"
锦程消费金融,数据分析师,成都,7-14K,3-5年本科,互联网,"MySQL,SQLServer,银行业,数据分析师,数据表结构"
鸿鹄万沐,金融数据分析师,成都,10-15K,1-3年大专,证券/期货,"金融数据分析,薪资待遇,全勤奖,年底分红,周末双休"
北京景气经济研究院,数据分析师,成都,10-20K,3-5年本科,企业服务,"数据库开发,逻辑回归,数据挖掘算法,数据分析师,大数据产品"
博普云,数据分析,成都,8-13K·13薪,1-3年本科,企业服务,"Excel,SQL,数据运营,建模,增长目标"
四川运泽,数据分析师,成都,10-15K,1-3年本科,O2O,"数据挖掘,数据处理,建模,数据挖掘算法,数据分析师"
亿字节,BI数据分析师,成都,10-13K,3-5年本科,计算机软件,"数据仓库,ETL,数据质量问题,Hive,bi数据分析"
康凤鞋业,数据分析员,成都,6-10K,经验不限本科,原材料及加工/模具,"Python,数据分析员,统计软件,办公软件,数据图表"
卓杭科技,数据分析师（广告）,成都,10-15K,3-5年本科,游戏,"Python,SQL,游戏,建模,数据分析师"
享宇科技,数据分析经理,成都,10-15K,3-5年本科,计算机软件,"数据仓库,HQL,数据分析经理,数据服务,整体规划"
润德云海,数据分析师,成都,10-15K,经验不限本科,电子商务,"数据挖掘,数据仓库,商业分析,数据架构师,数据库开发"
孜点教科,数据分析专员,成都,5-8K,1-3年本科,在线教育,"Tableau,统计学专业,心理学等相关专业,数据分析专员,调研项目"
爱选科技,数据分析师,成都,12-15K,3-5年本科,保险,"NumPy,Pandas,Python,数据分析师,保险行业"
海存量数据,数据分析,成都,4-5K,经验不限大专,运营商,"商业分析,支撑服务,移动业务,分析维度,分析方法"
